season,team_id,venue_id,venue_name_short,name_display_club,is_diff_configuration,distance_lf_line,distance_lf_gap,distance_cf,distance_rf_gap,distance_rf_line,distance_deepest,height_lf_line,height_lf_gap,height_cf,height_rf_gap,height_rf_line,height_highest,avg_fence_distance,avg_hr_distance,fence_area,avg_fence_height,year,elevation_feet,n,avg_roof,avg_daytime,avg_temperature,extra_distance,temperature_extra_distance,elevation_extra_distance,roof_extra_distance,environment_extra_distance,n_year_venue_roof_for_cool_hot_code,avg_temp_cool,extra_distance_cool,avg_temp_warm,extra_distance_warm,avg_temp_hot,extra_distance_hot
2019,140,13,Globe Life Park in Arlington,Rangers,0,331.7438722468797,389.998718459494,398.6399029446908,377.1155012134425,323.5791123730707,405.4321642882417,12.148,5.819,5.87,5.88,5.89,12.148,375.89323062685065,383.54043062685065,110973.39963665722,7.647200000000004,2019,545,178,0,25,85.9,1.3,4.7,0.2,0,-3.6,178,75.1,-0.1,88.1,2.7,94.6,1.1
2019,141,14,Rogers Centre,Blue Jays,0,328.02386688091224,383.3363476635105,400.0946985447859,383.66953595370984,328.44311711805244,400.344902494004,9.909,9.839,9.88,9.738,9.94,9.969,370.48785131797894,380.37010131797894,107804.73206458849,9.882249999999994,2019,270,167,57,37,69.5,0.2,-1.8,-1.1,2.2,0.9,72,64.8,-1.5,72.2,-0.1,77.1,7.8
2019,142,3312,Target Field,Twins,0,338.2289251384499,382.0313760367885,403.865623693451,373.30041830476165,327.83326953196627,409.9937768050871,7.71,7.71,7.54,23.169,20.35,23.169,369.77319706624314,383.70928595513203,107389.23232001197,13.936088888888886,2019,815,192,0,39,68.9,-1.3,-2,1.5,0,-0.8,192,53,-5.1,71.4,0,82.3,1.3
2019,143,2681,Citizens Bank Park,Phillies,0,328.60183130542623,374.5315677614104,401.5581212517386,369.9126270281554,329.6291343443889,408.1218294144383,9.79,9.76,5.649,12.549,12.549,16.999,364.84999039336293,375.29432928225185,104548.68138557968,10.444338888888893,2019,20,162,0,33,76.2,-2.9,0.9,-2.3,0,-1.5,162,63.6,-11.6,77.2,-1.4,87.7,4.3
2019,144,4705,Truist Park,Braves,0,334.61574899249314,386.03892298472505,399.87662950346765,378.61444205173757,324.79436971812845,401.6685004386557,5.499,8.198,8.129,15.559,15.429,15.559,373.3531024200883,383.5979801978661,109478.64419000508,10.244877777777777,2019,1001,154,0,25,80.9,-0.5,2.7,2.4,0,-5.6,154,72.4,-3.2,80.9,3.9,89.3,-2.3
2019,145,4,Rate Field,White Sox,0,328.41076573082546,378.7345959213482,399.68025443716533,379.5630226207237,334.62240609758226,401.2812945525432,6.669,6.808,6.749,6.779,6.738,7.039,368.69446854326856,375.45191854326856,106763.57932527002,6.7574499999999995,2019,595,147,0,42,69.9,-1.4,-1.6,0.5,0,-0.3,147,55.4,-4.2,71.1,-1.8,83.1,1.9
2019,146,4169,loanDepot park,Marlins,0,343.66031665670886,387.1960160164309,406.24605961526436,389.2323846438591,334.4389999320106,408.46349503714646,10.929,11.169,8.159,8.13,6.81,11.21,377.20508096193134,385.7489865174869,111749.33553692958,8.543905555555556,2019,10,140,86,19,77.3,0.4,1.3,-2.4,3.4,-1.9,20,75.3,2.8,79.2,6.5,82.4,4.7
2019,147,3313,Yankee Stadium,Yankees,0,317.47132323333955,391.71696965306785,407.89094342748626,365.1840900287536,313.4689238006437,409.0342465553246,8.02,8.079,8.14,8.1,7.548,8.21,369.01548327200095,377.07391660533426,106949.57398828879,8.058433333333335,2019,55,167,0,41,72.8,-3.2,-0.5,-2.2,0,-0.5,167,59.6,-10.8,74.7,-2.1,84,3.1
2019,158,32,American Family Field,Brewers,0,341.0997905295338,371.87174560148213,399.52400016405426,377.0459646811109,344.64882094717916,399.6242204986924,6.93,6.46,6.689,6.72,7.079,7.079,372.31630163675385,379.00968497008716,108871.44452719891,6.693383333333332,2019,597,141,53,35,72.2,1.9,-0.7,0.5,2.1,0,66,70.5,-0.7,76.2,3.6,83.5,5.3
2020,108,1,Angel Stadium,Angels,0,329.2061744858028,385.818382330976,398.25428652766306,368.9920908339572,329.6881420807263,402.4997065333321,3.308,6.799,6.799,6.659,3.286,6.799,374.55845520158545,380.763110757141,110186.67849511353,6.204655555555556,2020,151,56,0,41,87,-1.6,5.1,-1.7,0,-5,56,78.7,-3.1,84.8,-4.7,97.3,2.9
